ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
BJ W3_0095,1.9903,7.1195,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0090,2.1751,6.855,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0093,2.6393,7.4229,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0059,2.1999,7.4172,1998,1998-01-01,1998-12-31,Landsat-5,,14048.238787580085,14769.003449975355,14587.862493839328,19384.945539674714,17486.026121241986,13961.806801379991,5896.0
BJ W3_0057,2.0416,6.345,1987,1987-01-01,1987-12-31,Landsat-5,,13038.567274519473,14195.105717102024,14338.1271562346,18143.27796944308,17673.562345983246,14973.984721537707,7349.253326761951
BJ W3_0105,2.0435,7.3052,1998,1998-01-01,1998-12-31,Landsat-5,,12915.686806411837,12970.917879161529,12739.9849568434,15652.185450061648,13816.491245376079,11503.13958076449,6798.110974106043
BJ W3_0094,2.0661,7.4056,1998,1998-01-01,1998-12-31,Landsat-5,,38811.57745436606,24048.59052787371,24598.144301924025,27703.982486433153,25422.076961026152,21028.90453872718,5896.0
BJ W3_0109,2.4068,7.1522,1987,1987-01-01,1987-12-31,Landsat-5,,12619.041933892455,13506.9205722743,13772.178095707945,15547.039713862849,17596.30291070548,15523.911198815984,6913.358164775531
BJ W3_0096,2.2541,7.2256,1999,1999-01-01,1999-12-31,Landsat-7,,9040.026710760625,9807.394301704404,9701.686339353857,16763.38285423557,15253.046807428142,11515.502162299672,5440.0
BJ W3_0106,2.1359,7.4286,1998,1998-01-01,1998-12-31,Landsat-5,,15289.851048088778,16143.681381011096,16167.163995067816,19713.066091245375,19241.250554870527,16476.237237977803,5896.0
BJ W3_0110,2.1941,7.4524,1998,1998-01-01,1998-12-31,Landsat-5,,14506.609810204585,15137.00024648755,15156.062854325859,19406.24007887602,18357.713334976583,14694.760907074196,5896.0
BJ W3_0117,2.5257,7.1952,1999,1999-01-01,1999-12-31,Landsat-7,,43290.694965449155,44019.558983218165,44119.69619940769,29153.16683119447,43787.05454096742,24010.019990128334,5866.756663376112
BJ W3_0111,2.1582,7.4246,1998,1998-01-01,1998-12-31,Landsat-5,,14679.905064902016,15097.84347162128,15028.829218630699,17978.606261135155,17311.8847034869,14349.385848816499,5917.556121150421
BJ W3_0114,2.441,7.4202,1998,1998-01-01,1998-12-31,Landsat-5,,11278.414838550654,11861.909785555832,11842.879714074443,15589.543258565445,15413.484101552873,12415.803056445651,5440.6630515158995
BJ W3_0118,2.1536,7.3716,1998,1998-01-01,1998-12-31,Landsat-5,,34029.71773994572,23029.90130767334,23563.22649888971,27092.34616333581,24923.909449790284,20440.14557118184,5896.0
BJ W3_0123,2.5963,7.2345,1999,1999-01-01,1999-12-31,Landsat-7,,8931.606165228115,9301.247348951914,9181.723551171395,12465.270776818743,11551.000739827377,9401.692971639952,5656.522811344022
BJ W3_0124,2.4003,7.375,1998,1998-01-01,1998-12-31,Landsat-5,,36475.956339417855,23597.087814504193,23632.44129255057,25848.898618648247,22446.101628021705,17961.512580167735,5896.0
BJ W3_0125,2.431,7.3115,1998,1998-01-01,1998-12-31,Landsat-5,,16811.987009742694,17400.043967024736,17214.043467399457,20447.609542842874,18042.23307519361,15380.480639520367,5918.958281289035
BJ W3_0122,2.4005,7.4317,1998,1998-01-01,1998-12-31,Landsat-5,,14372.560434139123,14979.28268376912,14940.778737049834,19610.107548100645,17313.878885051803,14479.30217069561,6505.1879625061665
BJ W3_0137,2.5136,7.3563,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0127,2.4817,7.3239,1998,1998-01-01,1998-12-31,Landsat-5,,65535.0,27309.445266272196,27335.60256410257,28608.845167652868,22290.72287968442,17368.501232741623,5896.0
BJ W3_0126,2.4331,7.3205,1998,1998-01-01,1998-12-31,Landsat-5,,18631.401677769558,19722.539106834447,19757.638045891934,23404.76461880089,22653.32642487047,19427.513200098696,5896.0
BJ W3_0141,2.2338,7.4172,1998,1998-01-01,1998-12-31,Landsat-5,,15717.146167118566,16418.144195218145,16489.99507024896,19466.996795661827,18543.123243776194,16024.043874784327,5896.0
BJ W3_0132,2.4844,7.3029,1998,1998-01-01,1998-12-31,Landsat-5,,31758.69363591515,22977.02195362605,23059.15984213123,27224.8322644302,25120.641341884562,21435.72446965959,5896.0
BJ W3_0134,2.2427,7.3988,1998,1998-01-01,1998-12-31,Landsat-5,,16890.969428007887,17710.256656804733,17794.35724852071,21492.65557199211,20503.075690335307,17041.902366863906,5896.0
