ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,VV,VH,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
IRD_1617,-16.53415419906822,14.471371935345374,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2112.0,1929.0285714285717,2023.4,2545.7428571428572,2709.285714285714,3081.114285714286,3428.771428571429,3247.5714285714294,3816.1142857142863,1154.0,320.0,4080.2,3266.2857142857147
IRD_1619,-16.535194141911088,14.472829321432336,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2133.0,1973.0,2081.0,2668.0,2814.0,3159.0,3501.0,3375.0,3943.0,1230.0,312.0,4252.0,3390.0
IRD_1616,-16.53460826381388,14.473648651750478,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2055.0,1840.0,1871.0,2281.0,2410.0,2911.0,3309.0,3190.0,3734.0,1165.0,289.0,3732.0,2883.0
IRD_1620,-16.53552351772642,14.470284383925277,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2134.733333333333,1962.3714285714284,1999.3904761904762,2489.523809523809,2639.752380952381,2984.8476190476185,3335.780952380952,3267.0952380952385,3758.5809523809517,1228.0380952380951,312.99047619047616,3919.1142857142854,2946.171428571428
IRD_1622,-16.5350660379815,14.46876302380095,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2253.2380952380954,1820.2857142857142,1805.952380952381,2195.190476190476,2431.1904761904766,2816.333333333333,3155.0476190476193,2895.1904761904766,3558.952380952381,1336.1428571428573,326.2380952380952,3679.1904761904766,2968.6666666666665
IRD_1612,-16.536075370414647,14.472938022834871,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2215.111111111111,1936.7857142857142,2062.5714285714284,2573.5634920634916,2747.7142857142853,3103.142857142857,3482.492063492063,3282.3809523809523,3919.5079365079364,1296.8888888888887,336.3333333333333,4098.309523809524,3268.968253968254
IRD_1621,-16.534882420753654,14.469621096559152,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2137.0,1947.0,2011.0,2492.0,2624.0,2956.0,3304.0,3167.0,3660.0,1173.0,302.0,4018.0,3250.0
IRD_1618,-16.53480329602517,14.473158269542107,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2126.0,1928.5333333333335,1985.6000000000001,2549.9333333333334,2747.9333333333334,3074.3333333333335,3447.6000000000004,3308.1333333333337,3872.9333333333334,1215.0,290.0,4101.266666666666,3196.6000000000004
IRD_1625,-16.4912562140102,14.51398467413726,2016,2016-01-01,2016-12-31,Sentinel-2,,,,1983.8749999999998,1862.298076923077,1856.3173076923076,2321.509615384615,2476.0576923076924,2821.230769230769,3142.6730769230767,3032.9134615384614,3539.5,993.2692307692307,232.38461538461536,3475.048076923076,2576.25
IRD_1623,-16.534252523274088,14.469853146444665,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2103.0,2000.0,2059.0,2557.0,2691.0,2967.0,3310.0,3254.0,3671.0,1182.0,337.0,4049.0,3222.0
IRD_1624,-16.492918238187297,14.514150183782682,2016,2016-01-01,2016-12-31,Sentinel-2,,,,1950.9423076923078,1821.173076923077,1710.4423076923078,2089.3846153846152,2290.1923076923076,2713.4615384615386,3092.403846153846,3000.769230769231,3510.9615384615386,1010.2307692307692,176.86538461538464,3505.307692307693,2586.6923076923076
IRD_1628,-16.498347490348667,14.516293302360902,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2040.6666666666665,1895.3968253968253,1917.6507936507937,2403.7460317460323,2582.6984126984125,2944.8571428571427,3291.15873015873,3185.79365079365,3746.031746031746,1073.3333333333333,168.66666666666666,3692.365079365079,2768.174603174603
IRD_1626,-16.49192109360209,14.513918264844897,2016,2016-01-01,2016-12-31,Sentinel-2,,,,1968.4285714285716,1762.6190476190477,1749.0095238095237,2088.361904761905,2293.704761904762,2688.857142857143,3097.9238095238093,3001.4476190476194,3426.7238095238104,1013.0476190476192,203.7619047619048,3288.1904761904766,2328.7238095238095
IRD_1630,-16.498765525149356,14.516346109919787,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2044.3999999999999,1917.9904761904763,1923.8095238095239,2405.4666666666667,2562.0285714285715,2955.2761904761905,3332.8761904761905,3207.3904761904764,3774.666666666667,1073.2,167.40000000000003,3725.790476190476,2784.914285714286
IRD_1627,-16.498230412281014,14.515881928404688,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2043.0,1804.51724137931,1808.2413793103447,2236.0,2396.8965517241377,2777.4827586206898,3150.5517241379307,2995.448275862069,3536.310344827586,1073.0,169.0,3415.6206896551726,2602.5172413793102
IRD_1633,-16.503546274811672,14.501002979531409,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2068.3809523809523,1838.1190476190475,1774.0238095238096,2091.7619047619046,2186.714285714286,2518.285714285714,2825.785714285714,2671.095238095238,3130.2619047619046,1088.0,285.54761904761904,2863.1190476190477,2206.2619047619046
IRD_1631,-16.50702953893951,14.497257678334124,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2211.6666666666665,2030.666666666667,2041.952380952381,2467.5238095238096,2588.5238095238096,2903.1428571428573,3213.952380952381,3066.2380952380954,3560.3809523809527,1216.6666666666667,375.0,3474.095238095238,2717.0
IRD_1632,-16.506664215055537,14.496696563450477,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2234.4,2067.7999999999997,2079.2,2542.3999999999996,2713.2000000000003,3022.0,3253.3999999999996,3167.7999999999997,3620.6,1255.3999999999999,413.20000000000005,3561.9999999999995,2690.2000000000003
IRD_1635,-16.505694637882662,14.49938411106967,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2174.6000000000004,1862.2,1875.914285714286,2175.7428571428577,2316.4,2636.057142857143,2911.2000000000003,2876.0857142857144,3258.771428571429,1209.257142857143,338.6,2914.0857142857144,2336.5428571428574
IRD_1634,-16.504621274678545,14.499040185775499,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2158.285714285714,1960.942857142857,1904.9142857142856,2162.285714285714,2241.1142857142854,2524.4571428571426,2843.9999999999995,2638.8857142857137,3165.6,1193.8285714285712,325.6857142857143,2872.0285714285715,2406.342857142857
IRD_1636,-16.504496720359473,14.501250605448117,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2063.0,1858.0,1819.0,2166.0,2256.0,2555.0,2852.0,2709.0,3184.0,1069.0,281.0,2931.0,2335.0
IRD_1637,-16.50813577620995,14.501612932341455,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2237.5192307692305,1896.6153846153845,1932.5865384615383,2361.076923076923,2548.875,2880.5480769230767,3223.221153846154,2928.2019230769233,3581.6442307692305,1233.076923076923,336.2019230769231,3405.6153846153848,2766.971153846154
IRD_1639,-16.508279312713654,14.499180392624629,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2215.0,2060.584,1993.744,2389.944,2539.0319999999997,2876.6479999999997,3164.4799999999996,3001.568,3490.144,1289.0,367.0,3342.216,2695.1439999999993
IRD_1638,-16.507532074151236,14.500563658692458,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2194.8,1915.6000000000001,1891.4000000000003,2247.0,2399.4,2780.2000000000003,3074.2000000000003,2834.0000000000005,3383.0,1205.4,350.4000000000001,3220.6,2504.2
IRD_1629,-16.498375530401717,14.516589864764669,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2036.0,1895.4666666666662,1921.5333333333333,2394.5714285714284,2578.1809523809525,2951.6285714285714,3334.657142857143,3228.7333333333327,3758.0,1074.0,168.0,3729.5047619047614,2783.3523809523813
IRD_1640,-16.50472558364112,14.500466098709119,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2111.0,1783.0,1716.0,1988.0,2136.0,2529.0,2841.0,2673.0,3175.0,1094.0,301.0,2821.0,2286.0
IRD_1642,-16.50176072944331,14.502639299817984,2016,2016-01-01,2016-12-31,Sentinel-2,,,,1990.1428571428573,1813.0,1743.0476190476193,2016.8095238095236,2137.3809523809523,2442.4285714285716,2654.9523809523807,2571.0952380952376,2865.0,931.5238095238094,277.95238095238096,2771.0476190476193,2101.952380952381
IRD_1643,-16.514210480890295,14.497469694102286,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2231.0,2158.8,2249.4,2880.0,3094.6000000000004,3486.6000000000004,3895.2000000000003,3739.6,4323.0,1340.0,344.0,4415.2,3406.8
IRD_1641,-16.505070336732082,14.500219036967678,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2109.768,1842.272,1787.144,2077.728,2209.96,2554.0640000000003,2840.5519999999997,2665.672,3128.848,1091.088,302.008,2883.36,2308.896
IRD_1644,-16.513753217612226,14.500493223421772,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2260.6,2126.2190476190476,2226.7619047619046,2824.1428571428573,3000.304761904762,3348.9904761904763,3732.171428571429,3520.32380952381,4129.914285714286,1266.2,351.6,4183.276190476191,3298.2857142857147
IRD_1645,-16.514597181940946,14.49692418338537,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2230.32380952381,2135.7619047619046,2223.5142857142855,2835.714285714286,3049.485714285714,3442.085714285714,3846.066666666666,3739.352380952381,4331.55238095238,1326.5142857142857,343.70476190476194,4385.628571428571,3346.266666666667
IRD_1647,-16.514309758354592,14.497798598162202,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2231.6,2110.8761904761905,2199.1428571428573,2776.2190476190476,2981.971428571429,3363.247619047619,3779.180952380953,3645.628571428572,4233.771428571428,1324.4,342.8,4382.8190476190475,3389.9619047619053
IRD_1646,-16.51430572294838,14.500546585635295,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2221.0,2114.104761904762,2210.009523809524,2772.67619047619,2956.2095238095244,3321.2952380952393,3707.123809523809,3540.6857142857148,4085.752380952381,1272.4000000000003,345.6,4217.066666666667,3285.038095238095
IRD_1648,-16.514572546708067,14.49973837112555,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2194.846153846154,2119.355769230769,2166.9423076923076,2676.3365384615386,2823.4615384615386,3201.913461538462,3577.778846153846,3453.778846153846,4008.057692307692,1272.6923076923078,347.88461538461536,4190.673076923076,3385.9615384615386
IRD_1649,-16.515969359743828,14.499872480126974,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2211.4399999999996,2179.912,2305.512,2909.328,3104.8399999999997,3502.2960000000003,3903.4959999999996,3760.0400000000004,4334.464,1261.5200000000002,326.32000000000005,4468.599999999999,3524.744
IRD_1652,-16.523016996246167,14.498372319112324,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2253.611111111111,2167.6031746031745,2282.277777777778,2857.214285714286,3055.8809523809523,3423.9444444444443,3848.0714285714284,3715.15873015873,4280.325396825397,1330.9126984126983,357.1666666666667,4473.476190476191,3500.8253968253966
IRD_1650,-16.515788741963704,14.500370932726131,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2235.428571428571,2183.114285714286,2291.3142857142857,2891.6571428571424,3079.9428571428575,3488.2,3875.142857142857,3710.7142857142853,4316.828571428571,1279.5428571428572,329.1428571428571,4418.085714285715,3518.7142857142862
IRD_1654,-16.524314338277904,14.49349345534985,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2234.0,2111.4476190476194,2259.876190476191,2905.285714285714,3070.171428571429,3429.9428571428575,3822.4285714285716,3663.371428571429,4188.761904761905,1266.0,336.0,4483.038095238096,3592.4857142857145
IRD_1651,-16.52319786623514,14.498889995659635,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2289.0,2190.5428571428574,2292.1619047619047,2907.9809523809527,3095.4952380952386,3513.838095238096,3886.6095238095245,3763.3333333333335,4375.419047619048,1368.0,374.0,4470.685714285715,3513.2190476190476
IRD_1653,-16.52380709251046,14.497726922885581,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2214.5,2192.1428571428573,2293.4761904761904,2881.2539682539677,3066.031746031746,3442.2539682539677,3854.944444444445,3715.563492063492,4280.968253968254,1278.4999999999998,363.0,4516.436507936508,3573.642857142857
IRD_1656,-16.525046317481724,14.493364984499806,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2236.733333333333,2134.6095238095236,2286.6857142857143,2954.3047619047616,3123.5714285714284,3472.990476190476,3870.5142857142855,3673.142857142857,4290.352380952381,1294.3333333333333,330.7142857142857,4621.390476190476,3721.5333333333333
IRD_1655,-16.524285938494327,14.49286692486567,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2220.3999999999996,2148.7142857142853,2277.1809523809525,2898.7904761904756,3058.1714285714284,3409.6761904761906,3782.333333333333,3664.485714285714,4190.142857142857,1254.0,334.4,4555.923809523809,3645.142857142857
IRD_1658,-16.52517854622609,14.494426278364779,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2174.626984126984,2093.253968253968,2232.246031746032,2829.1269841269846,3025.8174603174602,3419.0396825396824,3819.5238095238096,3701.3253968253966,4294.539682539683,1254.920634920635,308.07936507936506,4534.119047619048,3548.6269841269846
IRD_1657,-16.525011537019697,14.494096953446931,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2185.0,2083.0,2189.0,2768.0,2955.0,3328.0,3736.0,3607.0,4202.0,1266.0,312.0,4403.0,3453.0
IRD_1660,-16.523917025235235,14.50032348642873,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2370.0,2183.0,2360.0,2992.0,3172.0,3581.0,3993.0,3816.0,4405.0,1443.0,336.0,4652.0,3718.0
IRD_1661,-16.52405642973101,14.498608960423653,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2277.675438596491,2178.0175438596493,2285.0263157894738,2882.7368421052633,3096.2456140350882,3475.9210526315787,3891.956140350877,3714.3596491228072,4308.59649122807,1341.6754385964914,391.83333333333337,4432.394736842105,3486.929824561403
IRD_1659,-16.526049983145587,14.493613099299797,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2169.0,2109.965811965812,2238.478632478633,2905.230769230769,3106.7777777777783,3490.1965811965815,3890.9059829059825,3765.623931623931,4360.470085470085,1235.0,290.0,4676.74358974359,3701.923076923077
IRD_1662,-16.52541972465313,14.499016379923567,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2291.0,2188.1333333333337,2299.9333333333334,2813.4,3024.9333333333334,3451.533333333333,3853.933333333334,3730.1333333333337,4286.200000000001,1359.0,392.0,4429.8,3490.8666666666672
IRD_1664,-16.533125189203933,14.496306924872796,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2068.0,2103.9999999999995,2205.5,2775.0,2940.0,3297.9999999999995,3682.5,3630.5,4145.0,1154.0,267.0,4551.0,3594.0
IRD_1663,-16.526875868161707,14.498916499808434,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2311.257142857143,2201.2857142857147,2346.2857142857147,2892.5714285714284,3081.6571428571433,3495.1428571428573,3869.542857142858,3766.3428571428576,4334.400000000001,1377.3428571428572,380.0571428571429,4450.171428571429,3483.628571428572
IRD_1665,-16.532937730687422,14.495764255686328,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2091.7142857142853,2111.9523809523807,2189.3571428571427,2758.928571428572,2936.261904761905,3274.285714285714,3672.4047619047615,3572.357142857142,4092.047619047619,1159.8095238095239,253.0952380952381,4582.952380952381,3671.4761904761904
IRD_1666,-16.523543076587888,14.499655275374598,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2333.777777777778,2165.4206349206347,2324.5555555555557,2956.5952380952376,3143.9444444444443,3554.007936507937,3957.111111111111,3796.103174603174,4385.007936507937,1408.873015873016,357.20634920634916,4527.095238095237,3623.1190476190473
IRD_1669,-16.523324475302122,14.500060254355608,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2343.0,2172.0,2338.0,2996.0,3162.0,3559.0,3987.0,3808.0,4390.0,1398.0,331.0,4580.0,3699.0
IRD_1670,-16.52764574201709,14.498312616565531,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2232.5600000000004,2199.6,2298.536,2881.48,3103.3920000000003,3529.3040000000005,3970.656000000001,3821.3280000000004,4416.296,1323.72,373.6,4463.360000000001,3410.384
IRD_1671,-16.52731400342884,14.49868144866424,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2256.8571428571427,2232.428571428571,2353.714285714286,2955.5714285714284,3158.7142857142853,3518.714285714286,3930.095238095238,3812.7142857142853,4361.999999999999,1331.6666666666665,382.4761904761904,4512.52380952381,3541.0952380952376
IRD_1668,-16.524280174469194,14.499981946705525,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2350.0,2179.8476190476194,2335.3809523809523,2963.1619047619047,3161.390476190476,3536.2666666666664,3948.3809523809523,3773.6190476190477,4340.447619047619,1396.0,338.0,4503.676190476191,3624.980952380952
IRD_1667,-16.5240836243972,14.499566385548095,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2346.6666666666665,2114.5238095238096,2237.5523809523806,2797.552380952381,3016.009523809524,3423.0857142857144,3871.342857142857,3627.390476190476,4270.64761904762,1391.7142857142856,367.7619047619048,4328.095238095238,3413.1809523809525
IRD_1674,-16.527075751832196,14.501516047387256,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2177.2,2173.8571428571427,2279.485714285714,2860.285714285714,3047.990476190476,3448.8285714285716,3850.209523809524,3737.723809523809,4299.371428571429,1293.1999999999998,317.8,4531.761904761905,3497.638095238095
IRD_1672,-16.526441249302763,14.501372189899016,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2268.0,2216.0,2362.0,3024.0,3184.0,3547.0,3961.0,3805.0,4380.0,1349.0,306.0,4892.0,3903.0
IRD_1673,-16.52711227720074,14.501015058361382,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2232.2000000000003,2199.580952380952,2326.333333333333,2944.7333333333336,3135.1714285714284,3511.2285714285713,3936.6666666666665,3797.238095238096,4343.771428571429,1326.3999999999999,301.0,4759.009523809524,3728.5714285714284
