Longitude_Latitude,ProfileID
"(-16.530391820378558, 14.610057409785309)",IRD_245
"(-16.530012211466207, 14.609465461303285)",IRD_246
"(-16.529111588550858, 14.610550155554387)",IRD_247
"(-16.52889229750994, 14.609904467200439)",IRD_248
"(-16.52842161941489, 14.610473836456666)",IRD_249
"(-16.52846966178348, 14.611122256694626)",IRD_250
"(-16.5301086058773, 14.612143809444909)",IRD_251
"(-16.528936975143324, 14.612518267183592)",IRD_252
"(-16.52638510796145, 14.612634411778549)",IRD_253
"(-16.52802771478941, 14.613096856684901)",IRD_254
"(-16.52757708566701, 14.613451966513663)",IRD_255
"(-16.527148030645968, 14.613716737000297)",IRD_256
"(-16.526428806783446, 14.608826395487688)",IRD_257
"(-16.530433465336078, 14.617799621430112)",IRD_258
"(-16.529729599756816, 14.61788734346888)",IRD_259
"(-16.532813292892783, 14.617951109521837)",IRD_260
"(-16.532587987374775, 14.618559864179682)",IRD_261
"(-16.534113271792062, 14.619176210700145)",IRD_262
"(-16.54111210343768, 14.624436143980676)",IRD_263
"(-16.539114799518273, 14.625000053299738)",IRD_264
"(-16.5443507039812, 14.622813288966542)",IRD_265
"(-16.533887528376177, 14.600234315444554)",IRD_266
"(-16.53348669913541, 14.600717907890724)",IRD_267
"(-16.534579450562987, 14.601306500365588)",IRD_268
"(-16.537008239062764, 14.615183702299522)",IRD_269
"(-16.537203034516732, 14.616055969381147)",IRD_270
"(-16.548507664052785, 14.578306402376034)",IRD_271
"(-16.548457466407104, 14.579033569469704)",IRD_272
"(-16.528830427019557, 14.598426831444408)",IRD_273
"(-16.527236662612204, 14.59396629881144)",IRD_274
"(-16.495923700690998, 14.57693699456424)",IRD_275
"(-16.49551441217148, 14.576766827434914)",IRD_276
"(-16.49487800288191, 14.575013845198445)",IRD_277
"(-16.49516698592144, 14.576246053377366)",IRD_278
"(-16.49516125445601, 14.577518173049585)",IRD_279
"(-16.493823627484414, 14.575000791416578)",IRD_280
"(-16.499073903321964, 14.576161477770594)",IRD_281
"(-16.500253115534477, 14.576474744382967)",IRD_282
"(-16.50167370153865, 14.57677207308073)",IRD_283
"(-16.501554658332115, 14.577307177455543)",IRD_284
"(-16.501092637104332, 14.57581633408426)",IRD_285
"(-16.50132660117694, 14.57623716161339)",IRD_286
"(-16.50079985966852, 14.575190015419476)",IRD_287
"(-16.49995699148556, 14.5755499203846)",IRD_288
"(-16.501077260650028, 14.577522928149605)",IRD_289
"(-16.501322564188015, 14.578032787413523)",IRD_290
"(-16.500438573015977, 14.577647553668804)",IRD_291
"(-16.500935987242876, 14.577928413675508)",IRD_292
"(-16.499837807325154, 14.578245234653236)",IRD_293
"(-16.499581928501566, 14.578660783237108)",IRD_294
"(-16.49989765422211, 14.578781974243622)",IRD_295
"(-16.499503847641467, 14.579088748942224)",IRD_296
"(-16.499851753326993, 14.579342197561369)",IRD_297
"(-16.498336695542196, 14.57974497166962)",IRD_298
"(-16.501543438294345, 14.579822186166455)",IRD_299
"(-16.50194253435704, 14.580358217624264)",IRD_300
"(-16.50031703542733, 14.580118638039277)",IRD_301
"(-16.49894597382456, 14.580632600464373)",IRD_302
"(-16.499713484075873, 14.581182650533936)",IRD_303
"(-16.500294745612543, 14.58157880557787)",IRD_304
"(-16.50103383283813, 14.582413882829949)",IRD_305
"(-16.500402035586667, 14.582580179386657)",IRD_306
"(-16.50171522740474, 14.58198043970093)",IRD_307
"(-16.500055336443417, 14.583023085015375)",IRD_308
"(-16.50079065663627, 14.58314407417588)",IRD_309
"(-16.499832338616443, 14.583161708232353)",IRD_310
"(-16.499662331456037, 14.583396625235563)",IRD_311
"(-16.49579920760873, 14.580490194894324)",IRD_312
"(-16.49616176981909, 14.583702502831905)",IRD_313
"(-16.490964166909258, 14.58190604302808)",IRD_314
"(-16.491549389985913, 14.581573753829824)",IRD_315
"(-16.49564394594248, 14.581583416167158)",IRD_316
"(-16.498920041093626, 14.590979003931931)",IRD_317
"(-16.499052984304083, 14.591520706144944)",IRD_318
"(-16.49849504685679, 14.59160880072991)",IRD_319
"(-16.497754700447018, 14.591304603815681)",IRD_320
"(-16.49719669766005, 14.591482460386795)",IRD_321
"(-16.496813086097063, 14.591572587634055)",IRD_322
"(-16.49646903652278, 14.591785343712077)",IRD_323
"(-16.496897946994636, 14.59193986999018)",IRD_324
"(-16.497445879659107, 14.592023852277668)",IRD_325
"(-16.498850963269, 14.592264570035601)",IRD_326
"(-16.50013512479311, 14.591962931197765)",IRD_327
"(-16.500204259654872, 14.58714873376146)",IRD_328
"(-16.50010718664654, 14.586079494468713)",IRD_329
"(-16.50115433842547, 14.586989131604517)",IRD_330
"(-16.49875955909807, 14.58625183931935)",IRD_331
"(-16.497782153009755, 14.585965052151655)",IRD_332
"(-16.498197975471275, 14.586170947313878)",IRD_333
"(-16.499205695506213, 14.586676594105084)",IRD_334
"(-16.501508638026653, 14.588064589005976)",IRD_335
"(-16.50102358041284, 14.588263479085722)",IRD_336
"(-16.50029454164805, 14.588201475415351)",IRD_337
"(-16.499530022548022, 14.588309220496948)",IRD_338
"(-16.499748512245855, 14.589125162501942)",IRD_339
"(-16.50091231830327, 14.58914342771206)",IRD_340
"(-16.501745073600187, 14.589457749719223)",IRD_341
"(-16.501861583766274, 14.590256032048515)",IRD_342
"(-16.500500928558765, 14.59008829668596)",IRD_343
"(-16.49900704135796, 14.589542338077592)",IRD_344
"(-16.497917274258178, 14.590113471944946)",IRD_345
"(-16.498174722911376, 14.590798066517566)",IRD_346
"(-16.494625218375305, 14.587536558663414)",IRD_347
"(-16.495071027692436, 14.58921324008151)",IRD_348
"(-16.495578957569336, 14.589338980872592)",IRD_349
"(-16.496647704012567, 14.588963032491442)",IRD_350
"(-16.494890282142883, 14.590200878680628)",IRD_351
"(-16.496094895825106, 14.585560603449661)",IRD_352
"(-16.49560395154068, 14.58661855369349)",IRD_353
"(-16.496219388498165, 14.59345701363161)",IRD_354
"(-16.49567001979484, 14.593202863713637)",IRD_355
"(-16.494702161385934, 14.594537907823312)",IRD_356
"(-16.469957351557944, 14.564638657615886)",IRD_357
"(-16.460440535116287, 14.579114757493914)",IRD_358
"(-16.462921132424164, 14.580188923905235)",IRD_359
"(-16.485150574846635, 14.580843320315529)",IRD_360
"(-16.471107825774123, 14.573981480346747)",IRD_361
"(-16.497629328669905, 14.572862169163233)",IRD_362
"(-16.492482699089177, 14.57735918225429)",IRD_363
"(-16.52964892505709, 14.614213813569775)",IRD_364
"(-16.527676570537, 14.604441147764565)",IRD_365
"(-16.46316175533291, 14.573446615974571)",IRD_366
"(-16.49771739397377, 14.572012567938375)",IRD_367
"(-16.525759107919708, 14.576071870671079)",IRD_368
"(-16.509183999290368, 14.581837024174922)",IRD_369
"(-16.49373079160887, 14.58324236354466)",IRD_370
"(-16.488657777327948, 14.571786100131579)",IRD_371
"(-16.54986654856867, 14.617024236501887)",IRD_372
"(-16.50686899758614, 14.587064492709143)",IRD_373
"(-16.493643195382468, 14.584214790239546)",IRD_374
"(-16.493274618989222, 14.583670033889302)",IRD_375
"(-16.494355893145325, 14.58378192598905)",IRD_376
"(-16.49351509891873, 14.585116421437426)",IRD_377
"(-16.492943160157036, 14.583270773048065)",IRD_378
"(-16.519886740129657, 14.619309185842205)",IRD_379
"(-16.519278880250933, 14.62118806252384)",IRD_380
"(-16.518984641699664, 14.621464161483622)",IRD_381
"(-16.51849977612107, 14.621863217952274)",IRD_382
"(-16.51848756674198, 14.622911619078003)",IRD_383
"(-16.506209034713134, 14.583361627828964)",IRD_384
"(-16.507232396260818, 14.5843046891499)",IRD_385
"(-16.506480047491472, 14.58468769001702)",IRD_386
"(-16.506204249188873, 14.584365300814754)",IRD_387
"(-16.504977169466557, 14.58448973837427)",IRD_388
"(-16.507826936605365, 14.583921520692027)",IRD_389
"(-16.507736256221946, 14.580412311424103)",IRD_390
"(-16.50770482218457, 14.585088160714822)",IRD_391
"(-16.507547804128322, 14.582463600715624)",IRD_392
"(-16.50756230739923, 14.579229467792619)",IRD_393
"(-16.499111970433937, 14.583120541434369)",IRD_394
"(-16.498233579055803, 14.582323401331731)",IRD_395
"(-16.498180363790514, 14.582678896637448)",IRD_396
