ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
IRD_356,-16.494702161385934,14.594537907823312,2016,2016-01-01,2016-12-31,Landsat-8,10053.990145356,10951.56885932496,13293.48706577975,15736.349839862036,20221.505543237246,27070.86055678739,24241.553830992856,21824.0
IRD_358,-16.460440535116287,14.579114757493914,2016,2016-01-01,2016-12-31,Landsat-8,10160.752648435571,10760.31239221483,12423.951465878292,14366.749692042373,18569.26681448632,26764.37940379403,23957.34860803153,21824.0
IRD_359,-16.462921132424164,14.580188923905235,2016,2016-01-01,2016-12-31,Landsat-8,9851.057523235368,10531.574981160513,12509.5619191158,14731.020346646572,18761.502386335087,25947.299924642048,22848.699070585273,21824.0
IRD_357,-16.469957351557944,14.564638657615886,2016,2016-01-01,2016-12-31,Landsat-8,9680.354187192119,10403.962807881773,12218.027586206896,14248.789162561576,18412.79655172414,25788.493349753695,22373.516256157636,21824.0
IRD_360,-16.485150574846635,14.580843320315529,2016,2016-01-01,2016-12-31,Landsat-8,10578.61295885686,11358.627740822863,13920.084996304508,16987.856368563684,21630.111603843314,28248.722838137477,25643.17836905642,21824.0
IRD_361,-16.471107825774123,14.573981480346747,2016,2016-01-01,2016-12-31,Landsat-8,10033.111412373673,10864.461671185603,13068.816366773473,15451.78037959083,19890.55977323145,26724.67710130638,23765.818092186342,21824.0
IRD_363,-16.492482699089177,14.57735918225429,2016,2016-01-01,2016-12-31,Landsat-8,10162.167003027245,11026.213168516653,13554.13042381433,16131.128910191728,21150.855196770935,27087.80121089808,23829.08501513623,21824.0
IRD_362,-16.497629328669905,14.572862169163233,2016,2016-01-01,2016-12-31,Landsat-8,10388.107415619612,11207.082532643508,13623.28701650653,16264.117270263614,20622.573786646957,28214.372259177133,25616.337275190937,21824.0
IRD_364,-16.52964892505709,14.614213813569775,2016,2016-01-01,2016-12-31,Landsat-8,9904.429662478446,10701.90268539049,12643.215077605324,14797.38531658044,19120.719881744273,26534.649421039667,23509.627987188964,21824.0
IRD_365,-16.527676570537,14.604441147764565,2016,2016-01-01,2016-12-31,Landsat-8,9849.56628881222,10589.34499753573,12432.329965500247,14450.177673730901,18653.22745194677,26570.790537210443,23827.72621981271,21824.0
IRD_368,-16.525759107919708,14.576071870671079,2016,2016-01-01,2016-12-31,Landsat-8,10613.117110453648,11490.379191321497,14136.800788954635,16968.94008875739,21721.490384615383,28867.336291913216,26380.018244575935,21824.0
IRD_367,-16.49771739397377,14.572012567938375,2016,2016-01-01,2016-12-31,Landsat-8,10372.017496303597,11231.265155248893,13713.428043371121,16419.831444061114,20833.10571710203,28339.28240512568,25652.50640709709,21824.0
IRD_366,-16.46316175533291,14.573446615974571,2016,2016-01-01,2016-12-31,Landsat-8,10008.735801851388,10603.739304478362,12395.587190392796,14609.23017262947,18814.959219414563,26523.493119839888,23382.04653490118,21824.0
IRD_369,-16.509183999290368,14.581837024174922,2016,2016-01-01,2016-12-31,Landsat-8,10570.55215782984,11478.452281134403,14113.618495684343,16931.045622688045,21559.476202219485,28554.27768187423,26023.994327990138,21824.0
IRD_371,-16.488657777327948,14.571786100131579,2016,2016-01-01,2016-12-31,Landsat-8,10289.229058561901,11228.550037064491,13783.334321719793,16449.848035581916,21248.85075364468,27572.809488510014,24673.09117865086,21824.0
IRD_370,-16.49373079160887,14.58324236354466,2016,2016-01-01,2016-12-31,Landsat-8,10645.415619610741,11555.739837398372,14212.771864991377,17055.433111603845,21586.219019462926,28621.74944567627,26088.003941857598,21824.0
IRD_372,-16.54986654856867,14.617024236501887,2016,2016-01-01,2016-12-31,Landsat-8,10219.87484602119,11099.990884454299,13476.365607292437,16112.412909583643,20433.20670115792,27708.50086228135,24802.495195861047,21824.0
IRD_373,-16.50686899758614,14.587064492709143,2016,2016-01-01,2016-12-31,Landsat-8,9916.463340891913,10721.524313429074,12946.468127991937,15467.430083144367,20231.310153691105,26253.99596875787,23612.326782564876,21824.0
IRD_374,-16.493643195382468,14.584214790239546,2016,2016-01-01,2016-12-31,Landsat-8,10645.37373737374,11530.86991869919,14181.581916728259,17022.626755358466,21616.59571322986,28592.386302044844,26035.74230105938,21824.0
IRD_375,-16.493274618989222,14.583670033889302,2016,2016-01-01,2016-12-31,Landsat-8,10659.575899457865,11560.921143420406,14252.753819615577,17120.31838344012,21754.15598817152,28702.28141941844,26126.698866436676,21824.0
